feature.name,GeneSymbol,uniprotID,effect,chrom,featureType,Function
gasAcul06841-RA,PER2,O15055,intergenerational,Gy_chrI,promoters,"FUNCTION: Transcriptional repressor which forms a core component of the circadian clock. The circadian clock, an internal time-keeping system, regulates various physiological processes through the generation of approximately 24 hour circadian rhythms in gene expression, which are translated into rhythms in metabolism and behavior. It is derived from the Latin roots 'circa' (about) and 'diem' (day) and acts as an important regulator of a wide array of physiological functions including metabolism, sleep, body temperature, blood pressure, endocrine, immune, cardiovascular, and renal function. Consists of two major components: the central clock, residing in the suprachiasmatic nucleus (SCN) of the brain, and the peripheral clocks that are present in nearly every tissue and organ system. Both the central and peripheral clocks can be reset by environmental cues, also known as Zeitgebers (German for 'timegivers'). The predominant Zeitgeber for the central clock is light, which is sensed by retina and signals directly to the SCN. The central clock entrains the peripheral clocks through neuronal and hormonal signals, body temperature and feeding-related cues, aligning all clocks with the external light/dark cycle. Circadian rhythms allow an organism to achieve temporal homeostasis with its environment at the molecular level by regulating gene expression to create a peak of protein expression once every 24 hours to control when a particular physiological process is most active with respect to the solar day. Transcription and translation of core clock components (CLOCK, NPAS2, BMAL1, BMAL2, PER1, PER2, PER3, CRY1 and CRY2) plays a critical role in rhythm generation, whereas delays imposed by post-translational modifications (PTMs) are important for determining the period (tau) of the rhythms (tau refers to the period of a rhythm and is the length, in time, of one complete cycle). A diurnal rhythm is synchronized with the day/night cycle, while the ultradian and infradian rhythms have a period shorter and longer than 24 hours, respectively. Disruptions in the circadian rhythms contribute to the pathology of cardiovascular diseases, cancer, metabolic syndrome and aging. A transcription/translation feedback loop (TTFL) forms the core of the molecular circadian clock mechanism. Transcription factors, CLOCK or NPAS2 and BMAL1 or BMAL2, form the positive limb of the feedback loop, act in the form of a heterodimer and activate the transcription of core clock genes and clock-controlled genes (involved in key metabolic processes), harboring E-box elements (5'-CACGTG-3') within their promoters. The core clock genes: PER1/2/3 and CRY1/2 which are transcriptional repressors form the negative limb of the feedback loop and interact with the CLOCK|NPAS2-BMAL1|BMAL2 heterodimer inhibiting its activity and thereby negatively regulating their own expression. This heterodimer also activates nuclear receptors NR1D1/2 and RORA/B/G, which form a second feedback loop and which activate and repress BMAL1 transcription, respectively. PER1 and PER2 proteins transport CRY1 and CRY2 into the nucleus with appropriate circadian timing, but also contribute directly to repression of clock-controlled target genes through interaction with several classes of RNA-binding proteins, helicases and others transcriptional repressors. PER appears to regulate circadian control of transcription by at least three different modes. First, interacts directly with the CLOCK-BMAL1 at the tail end of the nascent transcript peak to recruit complexes containing the SIN3-HDAC that remodel chromatin to repress transcription. Second, brings H3K9 methyltransferases such as SUV39H1 and SUV39H2 to the E-box elements of the circadian target genes, like PER2 itself or PER1. The recruitment of each repressive modifier to the DNA seems to be very precisely temporally orchestrated by the large PER complex, the deacetylases acting before than the methyltransferases. Additionally, large PER complexes are also recruited to the target genes 3' termination site through interactions with RNA-binding proteins and helicases that may play a role in transcription termination to regulate transcription independently of CLOCK-BMAL1 interactions. Recruitment of large PER complexes to the elongating polymerase at PER and CRY termination sites inhibited SETX action, impeding RNA polymerase II release and thereby repressing transcriptional reinitiation. May propagate clock information to metabolic pathways via the interaction with nuclear receptors. Coactivator of PPARA and corepressor of NR1D1, binds rhythmically at the promoter of nuclear receptors target genes like BMAL1 or G6PC1. Directly and specifically represses PPARG proadipogenic activity by blocking PPARG recruitment to target promoters and thereby inhibiting transcriptional activation. Required for fatty acid and lipid metabolism, is involved as well in the regulation of circulating insulin levels. Plays an important role in the maintenance of cardiovascular functions through the regulation of NO and vasodilatatory prostaglandins production in aortas. Controls circadian glutamate uptake in synaptic vesicles through the regulation of VGLUT1 expression. May also be involved in the regulation of inflammatory processes. Represses the CLOCK-BMAL1 induced transcription of BHLHE40/DEC1 and ATF4. Negatively regulates the formation of the TIMELESS-CRY1 complex by competing with TIMELESS for binding to CRY1. {ECO:0000250|UniProtKB:O54943}."
gasAcul07530-RA,lhx1a,Q90476,intergenerational,Gy_chrI,intergenic,FUNCTION: Seems to play a role in dorsal axis formation. {ECO:0000269|PubMed:7768180}.
gasAcul07532-RA,NA,NA,intergenerational,Gy_chrI,intergenic,NA
gasAcul07545-RA,MYO18A,D3ZFD0,intergenerational,Gy_chrI,introns,"FUNCTION: May link Golgi membranes to the cytoskeleton and participate in the tensile force required for vesicle budding from the Golgi. Thereby, may play a role in Golgi membrane trafficking and could indirectly give its flattened shape to the Golgi apparatus. Alternatively, in concert with LURAP1 and CDC42BPA/CDC42BPB, has been involved in modulating lamellar actomyosin retrograde flow that is crucial to cell protrusion and migration (By similarity). May be involved in the maintenance of the stromal cell architectures required for cell to cell contact (By similarity). Regulates trafficking, expression, and activation of innate immune receptors on macrophages. Plays a role to suppress inflammatory responsiveness of macrophages via a mechanism that modulates CD14 trafficking. Acts as a receptor of surfactant-associated protein A (SFTPA1/SP-A) and plays an important role in internalization and clearance of SFTPA1-opsonized S.aureus by alveolar macrophages. Strongly enhances natural killer cell cytotoxicity (By similarity). {ECO:0000250|UniProtKB:Q92614, ECO:0000250|UniProtKB:Q9JMH9}."
gasAcul07588-RA,NA,NA,infection_induced,Gy_chrI,intergenic,NA
gasAcul07592-RA,PRKX,P51817,intergenerational,Gy_chrI,introns,"FUNCTION: Serine/threonine protein kinase regulated by and mediating cAMP signaling in cells. Acts through phosphorylation of downstream targets that may include CREB, SMAD6 and PKD1 and has multiple functions in cellular differentiation and epithelial morphogenesis. Regulates myeloid cell differentiation through SMAD6 phosphorylation. Involved in nephrogenesis by stimulating renal epithelial cell migration and tubulogenesis. Also involved in angiogenesis through stimulation of endothelial cell proliferation, migration and vascular-like structure formation. {ECO:0000269|PubMed:12082174, ECO:0000269|PubMed:16236808, ECO:0000269|PubMed:16491121, ECO:0000269|PubMed:17980165, ECO:0000269|PubMed:19367327, ECO:0000269|PubMed:21684272, ECO:0000269|PubMed:9860982}."
gasAcul07601-RA,HECW2,Q6I6G8,infection_induced,Gy_chrI,introns,FUNCTION: E3 ubiquitin-protein ligase that mediates ubiquitination of TP73. Acts to stabilize TP73 and enhance activation of transcription by TP73. Involved in the regulation of mitotic metaphase/anaphase transition. {ECO:0000250|UniProtKB:Q9P2P5}.
gasAcul07606-RA,DMD,O97592,infection_induced,Gy_chrI,exons,FUNCTION: Anchors the extracellular matrix to the cytoskeleton via F-actin. Ligand for dystroglycan. Component of the dystrophin-associated glycoprotein complex which accumulates at the neuromuscular junction (NMJ) and at a variety of synapses in the peripheral and central nervous systems and has a structural function in stabilizing the sarcolemma. Also implicated in signaling events and synaptic transmission. {ECO:0000250|UniProtKB:P11531}.
gasAcul07646-RA,MID1,O15344,intergenerational,Gy_chrI,intergenic,"FUNCTION: Has E3 ubiquitin ligase activity towards IGBP1, promoting its monoubiquitination, which results in deprotection of the catalytic subunit of protein phosphatase PP2A, and its subsequent degradation by polyubiquitination. {ECO:0000269|PubMed:10400985, ECO:0000269|PubMed:11685209, ECO:0000269|PubMed:22613722}."
gasAcul07647-RA,NDFIP2,Q91ZP6,infection_induced,Gy_chrI,intergenic,"FUNCTION: Activates HECT domain-containing E3 ubiquitin-protein ligases, including ITCH, NEDD4, NEDD4L, SMURF2, WWP1 and WWP2, and consequently modulates the stability of their targets. As a result, may control many cellular processes. Recruits ITCH, NEDD4 and SMURF2 to endosomal membranes. Negatively regulates KCNH2 potassium channel activity by decreasing its cell-surface expression and interfering with channel maturation through recruitment of NEDD4L to the Golgi apparatus and multivesicular body where it mediates KCNH2 degradation (By similarity). May modulate EGFR signaling (By similarity). Together with NDFIP1, limits the cytokine signaling and expansion of effector Th2 T-cells by promoting degradation of JAK1, probably by ITCH- and NEDD4L-mediated ubiquitination (PubMed:27088444). {ECO:0000250|UniProtKB:Q9NV92, ECO:0000269|PubMed:12050153, ECO:0000269|PubMed:15252135, ECO:0000269|PubMed:27088444}."
gasAcul07647-RA,NDFIP2,Q91ZP6,infection_induced,Gy_chrI,intergenic,"FUNCTION: Activates HECT domain-containing E3 ubiquitin-protein ligases, including ITCH, NEDD4, NEDD4L, SMURF2, WWP1 and WWP2, and consequently modulates the stability of their targets. As a result, may control many cellular processes. Recruits ITCH, NEDD4 and SMURF2 to endosomal membranes. Negatively regulates KCNH2 potassium channel activity by decreasing its cell-surface expression and interfering with channel maturation through recruitment of NEDD4L to the Golgi apparatus and multivesicular body where it mediates KCNH2 degradation (By similarity). May modulate EGFR signaling (By similarity). Together with NDFIP1, limits the cytokine signaling and expansion of effector Th2 T-cells by promoting degradation of JAK1, probably by ITCH- and NEDD4L-mediated ubiquitination (PubMed:27088444). {ECO:0000250|UniProtKB:Q9NV92, ECO:0000269|PubMed:12050153, ECO:0000269|PubMed:15252135, ECO:0000269|PubMed:27088444}."
gasAcul07647-RA,NDFIP2,Q91ZP6,infection_induced,Gy_chrI,intergenic,"FUNCTION: Activates HECT domain-containing E3 ubiquitin-protein ligases, including ITCH, NEDD4, NEDD4L, SMURF2, WWP1 and WWP2, and consequently modulates the stability of their targets. As a result, may control many cellular processes. Recruits ITCH, NEDD4 and SMURF2 to endosomal membranes. Negatively regulates KCNH2 potassium channel activity by decreasing its cell-surface expression and interfering with channel maturation through recruitment of NEDD4L to the Golgi apparatus and multivesicular body where it mediates KCNH2 degradation (By similarity). May modulate EGFR signaling (By similarity). Together with NDFIP1, limits the cytokine signaling and expansion of effector Th2 T-cells by promoting degradation of JAK1, probably by ITCH- and NEDD4L-mediated ubiquitination (PubMed:27088444). {ECO:0000250|UniProtKB:Q9NV92, ECO:0000269|PubMed:12050153, ECO:0000269|PubMed:15252135, ECO:0000269|PubMed:27088444}."
gasAcul07678-RA,Atp11a,P98196,intergenerational,Gy_chrI,introns,"FUNCTION: Catalytic component of a P4-ATPase flippase complex which catalyzes the hydrolysis of ATP coupled to the transport of aminophospholipids, phosphatidylserines (PS) and phosphatidylethanolamines (PE), from the outer to the inner leaflet of the plasma membrane (PubMed:25315773, PubMed:25947375, PubMed:26567335, PubMed:29799007, PubMed:30018401, PubMed:36300302). Does not show flippase activity toward phosphatidylcholine (PC) (PubMed:34403372). Contributes to the maintenance of membrane lipid asymmetry with a specific role in morphogenesis of muscle cells. In myoblasts, mediates PS enrichment at the inner leaflet of plasma membrane, triggering PIEZO1-dependent Ca2+ influx and Rho GTPases signal transduction, subsequently leading to the assembly of cortical actomyosin fibers and myotube formation (PubMed:29799007). May be involved in the uptake of farnesyltransferase inhibitor drugs, such as lonafarnib. {ECO:0000269|PubMed:15860663, ECO:0000269|PubMed:25315773, ECO:0000269|PubMed:25947375, ECO:0000269|PubMed:26567335, ECO:0000269|PubMed:29799007, ECO:0000269|PubMed:30018401, ECO:0000269|PubMed:34403372, ECO:0000269|PubMed:36300302, ECO:0000305}."
gasAcul07691-RA,UNC80,Q8BLN6,infection_induced,Gy_chrI,exons,"FUNCTION: Auxiliary subunit of the NALCN sodium channel complex (PubMed:19092807, PubMed:21040849, PubMed:32620897). The NALCN sodium channel complex is a voltage-gated ion channel responsible for the resting Na(+) permeability that controls neuronal excitability (PubMed:32620897). This complex is activated by neuropeptides substance P, neurotensin. In addition, the channel is inhibited by extracellular Ca(2+) through the Ca(2+)-sensing receptor. UNC80 is essential for NALCN sensitivity to extracellular calcium. {ECO:0000269|PubMed:19092807, ECO:0000269|PubMed:21040849, ECO:0000269|PubMed:32620897}."
gasAcul07695-RA,lancl1,F1MVX2,intergenerational,Gy_chrI,intergenic,"FUNCTION: Functions as a glutathione transferase. Catalyzes conjugation of the glutathione (GSH) to artificial substrates 1-chloro-2,4-dinitrobenzene (CDNB) and p-nitrophenyl acetate. Mitigates neuronal oxidative stress during normal postnatal development and in response to oxidative stresses probably through GSH antioxidant defense mechanism (By similarity). May play a role in EPS8 signaling (By similarity). Binds glutathione (PubMed:17305318). {ECO:0000250|UniProtKB:O43813, ECO:0000250|UniProtKB:O89112, ECO:0000269|PubMed:17305318}."
gasAcul07700-RA,Klf7,O75840,intergenerational,Gy_chrI,introns,"FUNCTION: Transcriptional factor (PubMed:16339272, PubMed:9774444). Plays a critical role in neuronal morphogenesis and survival of sensory neurons (By similarity). Represses the corneal epithelium differentiation (PubMed:28916725). Acts also as a metabolic regulator, by modulating insulin sensitivity in pancreatic beta cells and skeletal muscle cells (PubMed:16339272). Inhibits transcriptional inducers of adipogenesis and has a repressive role in the expression of several adipokines, including leptin (PubMed:16339272). {ECO:0000250|UniProtKB:Q99JB0, ECO:0000269|PubMed:16339272, ECO:0000269|PubMed:28916725, ECO:0000269|PubMed:9774444}."
gasAcul07700-RA,Klf7,O75840,intergenerational,Gy_chrI,intergenic,"FUNCTION: Transcriptional factor (PubMed:16339272, PubMed:9774444). Plays a critical role in neuronal morphogenesis and survival of sensory neurons (By similarity). Represses the corneal epithelium differentiation (PubMed:28916725). Acts also as a metabolic regulator, by modulating insulin sensitivity in pancreatic beta cells and skeletal muscle cells (PubMed:16339272). Inhibits transcriptional inducers of adipogenesis and has a repressive role in the expression of several adipokines, including leptin (PubMed:16339272). {ECO:0000250|UniProtKB:Q99JB0, ECO:0000269|PubMed:16339272, ECO:0000269|PubMed:28916725, ECO:0000269|PubMed:9774444}."
gasAcul07713-RA,CD200,O54901,infection_induced,Gy_chrI,introns,FUNCTION: Costimulates T-cell proliferation. May regulate myeloid cell activity in a variety of tissues (By similarity). {ECO:0000250}.
gasAcul06889-RA,NA,NA,infection_induced,Gy_chrI,intergenic,NA
gasAcul07807-RA,ABCB11,O70127,intergenerational,Gy_chrI,intergenic,"FUNCTION: Catalyzes the transport of the major hydrophobic bile salts, such as taurine and glycine-conjugated cholic acid across the canalicular membrane of hepatocytes in an ATP-dependent manner, therefore participates in hepatic bile acid homeostasis and consequently to lipid homeostasis through regulation of biliary lipid secretion in a bile salts dependent manner (PubMed:15901796, PubMed:16332456, PubMed:17082223, PubMed:18985798, PubMed:9545351). Transports taurine-conjugated bile salts more rapidly than glycine-conjugated bile salts (PubMed:16332456). Also transports non-bile acid compounds, such as pravastatin and fexofenadine in an ATP-dependent manner and may be involved in their biliary excretion (PubMed:15901796, PubMed:18245269). {ECO:0000269|PubMed:15901796, ECO:0000269|PubMed:16332456, ECO:0000269|PubMed:17082223, ECO:0000269|PubMed:18245269, ECO:0000269|PubMed:18985798, ECO:0000269|PubMed:9545351}."
gasAcul07812-RA,Stk24,B0LT89,intergenerational,Gy_chrI,intergenic,"FUNCTION: Serine/threonine-protein kinase that acts on both serine and threonine residues and promotes apoptosis in response to stress stimuli and caspase activation. Mediates oxidative-stress-induced cell death by modulating phosphorylation of JNK1-JNK2 (MAPK8 and MAPK9), p38 (MAPK11, MAPK12, MAPK13 and MAPK14) during oxidative stress. Plays a role in a staurosporine-induced caspase-independent apoptotic pathway by regulating the nuclear translocation of AIFM1 and ENDOG and the DNase activity associated with ENDOG. Phosphorylates STK38L on 'Thr-442' and stimulates its kinase activity. In association with STK26 negatively regulates Golgi reorientation in polarized cell migration upon RHO activation. Regulates also cellular migration with alteration of PTPN12 activity and PXN phosphorylation: phosphorylates PTPN12 and inhibits its activity and may regulate PXN phosphorylation through PTPN12 (By similarity). May act as a key regulator of axon regeneration in the optic nerve and radial nerve (PubMed:19855390). Part of the striatin-interacting phosphatase and kinase (STRIPAK) complexes. STRIPAK complexes have critical roles in protein (de)phosphorylation and are regulators of multiple signaling pathways including Hippo, MAPK, nuclear receptor and cytoskeleton remodeling. Different types of STRIPAK complexes are involved in a variety of biological processes such as cell growth, differentiation, apoptosis, metabolism and immune regulation (By similarity). {ECO:0000250|UniProtKB:Q9Y6E0, ECO:0000269|PubMed:19855390}."
gasAcul07812-RA,Stk24,B0LT89,infection_induced,Gy_chrI,intergenic,"FUNCTION: Serine/threonine-protein kinase that acts on both serine and threonine residues and promotes apoptosis in response to stress stimuli and caspase activation. Mediates oxidative-stress-induced cell death by modulating phosphorylation of JNK1-JNK2 (MAPK8 and MAPK9), p38 (MAPK11, MAPK12, MAPK13 and MAPK14) during oxidative stress. Plays a role in a staurosporine-induced caspase-independent apoptotic pathway by regulating the nuclear translocation of AIFM1 and ENDOG and the DNase activity associated with ENDOG. Phosphorylates STK38L on 'Thr-442' and stimulates its kinase activity. In association with STK26 negatively regulates Golgi reorientation in polarized cell migration upon RHO activation. Regulates also cellular migration with alteration of PTPN12 activity and PXN phosphorylation: phosphorylates PTPN12 and inhibits its activity and may regulate PXN phosphorylation through PTPN12 (By similarity). May act as a key regulator of axon regeneration in the optic nerve and radial nerve (PubMed:19855390). Part of the striatin-interacting phosphatase and kinase (STRIPAK) complexes. STRIPAK complexes have critical roles in protein (de)phosphorylation and are regulators of multiple signaling pathways including Hippo, MAPK, nuclear receptor and cytoskeleton remodeling. Different types of STRIPAK complexes are involved in a variety of biological processes such as cell growth, differentiation, apoptosis, metabolism and immune regulation (By similarity). {ECO:0000250|UniProtKB:Q9Y6E0, ECO:0000269|PubMed:19855390}."
gasAcul07812-RA,Stk24,B0LT89,infection_induced,Gy_chrI,intergenic,"FUNCTION: Serine/threonine-protein kinase that acts on both serine and threonine residues and promotes apoptosis in response to stress stimuli and caspase activation. Mediates oxidative-stress-induced cell death by modulating phosphorylation of JNK1-JNK2 (MAPK8 and MAPK9), p38 (MAPK11, MAPK12, MAPK13 and MAPK14) during oxidative stress. Plays a role in a staurosporine-induced caspase-independent apoptotic pathway by regulating the nuclear translocation of AIFM1 and ENDOG and the DNase activity associated with ENDOG. Phosphorylates STK38L on 'Thr-442' and stimulates its kinase activity. In association with STK26 negatively regulates Golgi reorientation in polarized cell migration upon RHO activation. Regulates also cellular migration with alteration of PTPN12 activity and PXN phosphorylation: phosphorylates PTPN12 and inhibits its activity and may regulate PXN phosphorylation through PTPN12 (By similarity). May act as a key regulator of axon regeneration in the optic nerve and radial nerve (PubMed:19855390). Part of the striatin-interacting phosphatase and kinase (STRIPAK) complexes. STRIPAK complexes have critical roles in protein (de)phosphorylation and are regulators of multiple signaling pathways including Hippo, MAPK, nuclear receptor and cytoskeleton remodeling. Different types of STRIPAK complexes are involved in a variety of biological processes such as cell growth, differentiation, apoptosis, metabolism and immune regulation (By similarity). {ECO:0000250|UniProtKB:Q9Y6E0, ECO:0000269|PubMed:19855390}."
gasAcul07851-RA,MPP4,Q6P7F1,intergenerational,Gy_chrI,promoters,FUNCTION: May play a role in retinal photoreceptors development. {ECO:0000269|PubMed:12859944}.
gasAcul07859-RA,Vwde,Q6DFV8,intergenerational,Gy_chrI,intergenic,NA
gasAcul07859-RA,Vwde,Q6DFV8,infection_induced,Gy_chrI,intergenic,NA
gasAcul07868-RA,AHR,O02747,intergenerational,Gy_chrI,promoters,"FUNCTION: Ligand-activated transcription factor that enables cells to adapt to changing conditions by sensing compounds from the environment, diet, microbiome and cellular metabolism, and which plays important roles in development, immunity and cancer (PubMed:9022676). Upon ligand binding, translocates into the nucleus, where it heterodimerizes with ARNT and induces transcription by binding to xenobiotic response elements (XRE). Regulates a variety of biological processes, including angiogenesis, hematopoiesis, drug and lipid metabolism, cell motility and immune modulation. Xenobiotics can act as ligands: upon xenobiotic-binding, activates the expression of multiple phase I and II xenobiotic chemical metabolizing enzyme genes (such as the CYP1A1 gene). Mediates biochemical and toxic effects of halogenated aromatic hydrocarbons. Next to xenobiotics, natural ligands derived from plants, microbiota, and endogenous metabolism are potent AHR agonists. Tryptophan (Trp) derivatives constitute an important class of endogenous AHR ligands. Acts as a negative regulator of anti-tumor immunity: indoles and kynurenic acid generated by Trp catabolism act as ligand and activate AHR, thereby promoting AHR-driven cancer cell motility and suppressing adaptive immunity. Regulates the circadian clock by inhibiting the basal and circadian expression of the core circadian component PER1. Inhibits PER1 by repressing the CLOCK-BMAL1 heterodimer mediated transcriptional activation of PER1. The heterodimer ARNT:AHR binds to core DNA sequence 5'-TGCGTG-3' within the dioxin response element (DRE) of target gene promoters and activates their transcription (By similarity). {ECO:0000250|UniProtKB:P35869, ECO:0000269|PubMed:9022676}."
gasAcul07868-RA,AHR,O02747,infection_induced,Gy_chrI,introns,"FUNCTION: Ligand-activated transcription factor that enables cells to adapt to changing conditions by sensing compounds from the environment, diet, microbiome and cellular metabolism, and which plays important roles in development, immunity and cancer (PubMed:9022676). Upon ligand binding, translocates into the nucleus, where it heterodimerizes with ARNT and induces transcription by binding to xenobiotic response elements (XRE). Regulates a variety of biological processes, including angiogenesis, hematopoiesis, drug and lipid metabolism, cell motility and immune modulation. Xenobiotics can act as ligands: upon xenobiotic-binding, activates the expression of multiple phase I and II xenobiotic chemical metabolizing enzyme genes (such as the CYP1A1 gene). Mediates biochemical and toxic effects of halogenated aromatic hydrocarbons. Next to xenobiotics, natural ligands derived from plants, microbiota, and endogenous metabolism are potent AHR agonists. Tryptophan (Trp) derivatives constitute an important class of endogenous AHR ligands. Acts as a negative regulator of anti-tumor immunity: indoles and kynurenic acid generated by Trp catabolism act as ligand and activate AHR, thereby promoting AHR-driven cancer cell motility and suppressing adaptive immunity. Regulates the circadian clock by inhibiting the basal and circadian expression of the core circadian component PER1. Inhibits PER1 by repressing the CLOCK-BMAL1 heterodimer mediated transcriptional activation of PER1. The heterodimer ARNT:AHR binds to core DNA sequence 5'-TGCGTG-3' within the dioxin response element (DRE) of target gene promoters and activates their transcription (By similarity). {ECO:0000250|UniProtKB:P35869, ECO:0000269|PubMed:9022676}."
